timestamp,datetime,ax,ay,az,gx,gy,gz,spo2,finger_detected
1759741576.081,2025-10-06 10:06:16.080,0.0559,-0.0059,0.8789,2.4962,-0.1221,-2.5954,,True
1759741576.213,2025-10-06 10:06:16.212,0.054,-0.0073,0.8784,2.7099,-0.084,-2.4275,,True
1759741576.352,2025-10-06 10:06:16.352,0.052,-0.0071,0.8779,2.4427,0.0916,-2.5878,,True
1759741576.484,2025-10-06 10:06:16.483,0.0535,-0.0085,0.8828,2.2519,-0.0992,-2.7939,,True
1759741576.616,2025-10-06 10:06:16.616,0.051,-0.0042,0.8826,2.4122,-0.0153,-2.6107,,True
1759741576.756,2025-10-06 10:06:16.755,0.0515,-0.0076,0.8821,2.4885,0.0076,-2.6336,,True
1759741576.887,2025-10-06 10:06:16.887,0.052,-0.0054,0.8835,2.5344,-0.1221,-2.6412,,True
1759741577.02,2025-10-06 10:06:17.019,0.0571,-0.0081,0.8767,2.5573,-0.0153,-2.6412,,True
1759741577.159,2025-10-06 10:06:17.158,0.0518,-0.0093,0.8828,2.3664,0.2137,-2.687,,True
1759741577.291,2025-10-06 10:06:17.290,0.0522,-0.0081,0.8782,2.3206,-0.3053,-2.6336,,True
1759741577.43,2025-10-06 10:06:17.429,0.0525,-0.01,0.8838,2.5038,0.3511,-2.6336,,True
1759741577.562,2025-10-06 10:06:17.561,0.0535,-0.0107,0.8806,2.5878,-0.0305,-2.5267,,True
1759741577.694,2025-10-06 10:06:17.693,0.0547,-0.0076,0.8755,2.5267,0.1679,-2.5802,,True
1759741577.833,2025-10-06 10:06:17.832,0.0496,-0.009,0.8833,2.2824,-0.1145,-2.5725,,True
1759741577.965,2025-10-06 10:06:17.964,0.0505,-0.0078,0.8811,2.374,-0.1908,-2.9542,,True
1759741578.105,2025-10-06 10:06:18.105,0.0513,-0.0044,0.8867,2.4046,-0.0229,-2.6336,,True
1759741578.244,2025-10-06 10:06:18.244,0.0483,-0.0093,0.8801,2.458,-0.0382,-2.4504,,True
1759741578.376,2025-10-06 10:06:18.375,0.052,-0.0095,0.8721,2.2595,-0.1145,-2.4885,,True
1759741578.515,2025-10-06 10:06:18.515,0.0525,-0.0034,0.8831,2.374,-0.4122,-2.7557,,True
1759741578.647,2025-10-06 10:06:18.646,0.0505,-0.0073,0.8735,2.4427,-0.1374,-2.5115,,True
1759741578.779,2025-10-06 10:06:18.778,0.052,-0.0042,0.8821,2.2214,-0.0229,-2.7863,,True
1759741578.918,2025-10-06 10:06:18.917,0.0515,-0.0095,0.8896,2.4122,-0.0229,-2.7252,,True
1759741579.049,2025-10-06 10:06:19.049,0.0518,-0.0076,0.8801,2.3817,-0.3511,-2.6565,,True
1759741579.189,2025-10-06 10:06:19.188,0.0479,-0.0076,0.8772,2.3588,-0.2443,-2.687,,True
1759741579.32,2025-10-06 10:06:19.320,0.051,-0.0073,0.8845,2.229,-0.2214,-2.7634,,True
1759741579.452,2025-10-06 10:06:19.452,0.0564,-0.0059,0.8777,2.4504,0.0,-2.5878,,True
1759741579.591,2025-10-06 10:06:19.591,0.0527,-0.0044,0.8826,2.2977,0.5267,-2.6641,,True
1759741579.723,2025-10-06 10:06:19.722,0.0483,-0.0081,0.8794,2.6183,-0.145,-2.4046,,True
1759741579.855,2025-10-06 10:06:19.855,0.0515,-0.0088,0.8828,2.4198,-0.0153,-2.5802,,True
1759741579.994,2025-10-06 10:06:19.994,0.0508,-0.0049,0.8755,2.2977,-0.145,-2.5878,,True
1759741580.126,2025-10-06 10:06:20.126,0.051,-0.0024,0.8804,2.4962,-0.1145,-2.6412,,True
1759741580.258,2025-10-06 10:06:20.258,0.053,-0.0088,0.875,2.4962,0.0076,-2.6565,,True
1759741580.389,2025-10-06 10:06:20.389,0.0508,-0.0083,0.877,2.5573,-0.2519,-2.4198,,True
1759741580.52,2025-10-06 10:06:20.520,0.0518,-0.0081,0.8838,2.4122,-0.3664,-2.6412,,True
1759741580.652,2025-10-06 10:06:20.651,0.051,-0.0039,0.8767,2.3053,-0.0229,-2.4046,,True
1759741580.791,2025-10-06 10:06:20.791,0.0527,-0.0051,0.8799,2.5344,-0.1298,-2.6947,,True
