timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,bp_systolic,bp_diastolic,bp_estimated
1757668766.027,2025-09-12 10:19:26.027,0.0347,0.0068,0.8828,2.6565,-0.9847,-2.9237,41.71,94.75,99.24465,True,,,False
1757668766.088,2025-09-12 10:19:26.087,0.0386,0.0112,0.8826,2.7557,-0.7481,-2.5802,41.71,93.0,99.24465,True,,,False
1757668766.148,2025-09-12 10:19:26.147,0.0361,0.009,0.8835,2.5802,-0.5115,-2.5344,41.42,93.0,99.24465,True,,,False
1757668766.208,2025-09-12 10:19:26.208,0.0359,0.0059,0.8816,2.3969,-1.0305,-2.7786,41.61,93.0,98.889096,True,,,False
1757668766.268,2025-09-12 10:19:26.267,0.0354,0.0054,0.887,2.5115,-1.6718,-2.6947,41.57,93.0,98.889096,True,,,False
1757668766.328,2025-09-12 10:19:26.328,0.0359,0.0066,0.8828,2.5038,0.6794,-2.6718,41.61,96.5,99.24465,True,,,False
1757668766.388,2025-09-12 10:19:26.388,0.0359,0.0095,0.8831,2.5038,-1.2137,-2.6183,41.61,107.25,99.43662599999999,True,,,False
1757668766.448,2025-09-12 10:19:26.448,0.0386,0.01,0.8801,2.7634,0.8855,-2.6489,41.61,118.0,99.43662599999999,True,,,False
1757668766.508,2025-09-12 10:19:26.508,0.0417,0.0063,0.8757,2.4962,-0.9695,-2.8626,41.28,128.75,99.43662599999999,True,,,False
1757668766.569,2025-09-12 10:19:26.568,0.0361,0.0103,0.8767,2.7481,-1.145,-2.7252,41.42,133.25,99.43662599999999,True,,,False
1757668766.628,2025-09-12 10:19:26.628,0.0386,0.009,0.8838,2.2901,-0.313,-2.5573,41.71,128.0,99.43662599999999,True,,,False
1757668766.708,2025-09-12 10:19:26.708,0.0396,0.0061,0.8879,2.5802,-0.6489,-2.6794,41.61,120.75,99.43662599999999,True,,,False
1757668766.769,2025-09-12 10:19:26.768,0.0396,0.0071,0.8813,2.542,-1.084,-2.5191,41.57,115.5,99.43662599999999,True,,,False
1757668766.827,2025-09-12 10:19:26.826,0.0383,0.0061,0.884,2.5191,0.1679,-2.5802,41.61,115.5,99.43662599999999,True,,,False
1757668766.887,2025-09-12 10:19:26.886,0.0369,0.0066,0.8843,2.5954,0.2137,-2.6183,41.75,118.0,99.43662599999999,True,,,False
1757668766.946,2025-09-12 10:19:26.946,0.0371,0.009,0.8813,2.313,-0.3053,-2.6565,41.57,120.0,99.43662599999999,True,,,False
1757668767.006,2025-09-12 10:19:27.006,0.0383,0.0103,0.8826,2.6336,-0.9084,-2.7176,41.42,120.0,99.43662599999999,True,,,False
1757668767.065,2025-09-12 10:19:27.065,0.0403,0.0093,0.8882,2.6107,-0.3969,-2.7328,41.8,113.75,98.752554,True,,,False
1757668767.126,2025-09-12 10:19:27.125,0.0332,0.0107,0.8862,2.4427,-0.6794,-2.6641,41.71,107.5,98.752554,True,,,False
1757668767.185,2025-09-12 10:19:27.185,0.0403,0.009,0.8833,2.3893,0.0534,-2.916,41.42,103.75,98.752554,True,,,False
1757668767.245,2025-09-12 10:19:27.245,0.0366,0.0085,0.8884,2.3359,-0.6718,-2.8779,41.61,100.0,98.752554,True,,,False
1757668767.306,2025-09-12 10:19:27.305,0.0359,0.0083,0.8735,2.3588,-0.916,-2.771,41.71,100.0,98.752554,True,,,False
1757668767.359,2025-09-12 10:19:27.358,0.0378,0.0068,0.8857,2.4885,0.3359,-2.5115,41.61,106.25,99.43662599999999,True,,,False
1757668767.416,2025-09-12 10:19:27.415,0.0344,0.0078,0.8816,2.3969,-0.5115,-2.7176,41.57,112.5,99.43662599999999,True,,,False
1757668767.475,2025-09-12 10:19:27.475,0.0342,0.009,0.8818,2.5267,0.0,-2.9466,41.57,118.75,99.43662599999999,True,,,False
1757668767.535,2025-09-12 10:19:27.534,0.0371,0.0112,0.8889,2.4504,-0.2901,-2.6412,41.61,125.0,99.43662599999999,True,,,False
1757668767.586,2025-09-12 10:19:27.585,0.0364,0.0063,0.8872,2.4885,-0.7099,-2.6947,41.47,125.0,99.43662599999999,True,,,False
1757668767.646,2025-09-12 10:19:27.645,0.0339,0.0068,0.8845,2.6336,-0.0611,-2.7786,41.47,120.5,99.43662599999999,True,,,False
1757668767.705,2025-09-12 10:19:27.705,0.0425,0.0083,0.8867,2.5267,0.0763,-2.6718,41.47,116.0,99.43662599999999,True,,,False
1757668767.765,2025-09-12 10:19:27.765,0.0374,0.0088,0.8921,2.4885,0.0992,-2.542,41.57,111.5,99.43662599999999,True,,,False
1757668767.824,2025-09-12 10:19:27.824,0.0359,0.0093,0.8752,2.5267,0.2901,-2.8092,41.57,107.0,99.43662599999999,True,,,False
1757668767.884,2025-09-12 10:19:27.884,0.0342,0.0071,0.8774,2.4809,0.0687,-2.5802,41.61,111.5,99.345144,True,,,False
1757668767.944,2025-09-12 10:19:27.943,0.0352,0.011,0.8828,2.3359,-0.3359,-2.4962,41.8,116.0,99.345144,True,,,False
1757668768.004,2025-09-12 10:19:28.003,0.0374,0.0093,0.8784,2.4275,-0.5038,-2.6107,41.61,116.0,99.758856,True,,,False
1757668768.063,2025-09-12 10:19:28.063,0.0327,0.0083,0.8804,2.5344,-0.5038,-2.5649,41.61,116.0,99.758856,True,,,False
1757668768.123,2025-09-12 10:19:28.123,0.0344,0.0085,0.8813,2.7863,-0.5878,-2.5573,41.71,118.75,99.24465,True,,,False
1757668768.182,2025-09-12 10:19:28.182,0.03,0.0105,0.8826,2.6031,-0.374,-2.6336,41.61,121.5,99.24465,True,,,False
1757668768.227,2025-09-12 10:19:28.227,0.0381,0.0061,0.8833,2.7557,-0.458,-2.6031,41.42,128.75,99.24465,True,,,False
1757668768.284,2025-09-12 10:19:28.284,0.0356,0.0073,0.8853,2.5878,-0.5802,-2.8779,41.38,136.0,99.24465,True,,,False
